sku,description,product_type,product_family,product_dimension,usage,network_interface,ports,uplinks,poe_type,power_configuration,stacking,routing_capabilities,list_price_usd,orderability,sheet,workbook,radio_specification,spatial_streams,indoor_outdoor
MR36H-HW,Meraki MR36H Wi-Fi 6 Cloud Managed AP,Access Point,Wireless,Meraki MR Hardware,"Next-generation in-room hotel or dormitory deployments
that service IP-enabled devices using
high-performance Wi-Fi 6 AP",,,,,,,,946.31,ICW-ONLY,Sheet1,Cisco Wireless Product List,"Tri-band (2.4 GHz, 5 GHz & 6 GHz)",,Inddor
MR36-HW,Meraki MR36 Wi-Fi 6 Indoor AP,Access Point,Wireless,Meraki MR Hardware,"Next-generation entry-level high-performance Wi-Fi
6 AP with security-scanning",,,,,,,,797.31,ICW-ONLY,Sheet1,Cisco Wireless Product List,"Dual-band (2.4GHz, 5 GHz)",,Indoor
MR44-HW,Meraki MR44 WiFi 6 Indoor AP,Access Point,Wireless,Meraki MR Hardware,"Next-generation AP with Wi-Fi 6 technology. Ideal for
medium-density locations with security scanning and
Bluetooth® Low Energy included.",,,,,,,,1297.75,ICW-ONLY,Sheet1,Cisco Wireless Product List,"Dual-band (2.4GHz, 5 GHz)",,Indoor
MR46E-HW,Meraki MR46E Wi-Fi 6 Indoor AP w External Antenna Connectors,Access Point,Wireless,Meraki MR Hardware,"Next-generation AP with Wi-Fi 6 technology. Ideal for
high-density locations or focused wireless coverage with
security scanning, Bluetooth® Low Energy, and external
antenna option",,,,,,,,1886.71,ICW-ONLY,Sheet1,Cisco Wireless Product List,"Dual-band (2.4GHz, 5 GHz)",,Indoor
MR46-HW,Meraki MR46 Wi-Fi 6 Indoor AP,Access Point,Wireless,Meraki MR Hardware,"Next-generation AP with Wi-Fi 6 technology. Ideal for
high-density locations or focused wireless coverage with
security scanning, Bluetooth® Low Energy, and external
antenna option",,,,,,,,1886.71,ICW-ONLY,Sheet1,Cisco Wireless Product List,"Dual-band (2.4GHz, 5 GHz)",,Indoor
MR57-HW,Meraki MR57 Wi-Fi 6E Indoor AP,Access Point,Wireless,Meraki MR Hardware,"Ultra-highperformance Wi-Fi
6E AP",,,,,,,,2808.98,ICW-ONLY,Sheet1,Cisco Wireless Product List,"Tri-band (2.4 GHz, 5 GHz & 6 GHz)",,Indoor
MR76-HW,Meraki MR76 Wi-Fi 6 Outdoor AP,Access Point,Wireless,Meraki MR Hardware,"Rugged/outdoor high-performance Wi-Fi 6 wireless for
outdoor campuses, industrial, point-to-point links, and
outdoor location services.",,,,,,,,2081.88,ICW-ONLY,Sheet1,Cisco Wireless Product List,"Tri-band (2.4 GHz, 5 GHz & 6 GHz)",,Outdoor
MR78-HW,Meraki MR78 Wi-Fi 6 Outdoor AP,Access Point,Wireless,Meraki MR Hardware,"Rugged/outdoor entry-level Wi-Fi 6 wireless for mediumdensity, basic outdoor deployments.",,,,,,,,1506.5,ICW-ONLY,Sheet1,Cisco Wireless Product List,"Tri-band (2.4 GHz, 5 GHz & 6 GHz)",,Outdoor
MR86-HW,Meraki MR86 Wi-Fi 6 Outdoor AP,Access Point,Wireless,Meraki MR Hardware,"Rugged/outdoor highest-performance Wi-Fi 6 with
multigigabit for tough RF and high-density environments.",,,,,,,,2898.07,ICW-ONLY,Sheet1,Cisco Wireless Product List,"Tri-band (2.4 GHz, 5 GHz & 6 GHz)",,Outdoor
LIC-ENT-10YR,"Meraki MR Enterprise License, 10YR",License,Wireless,Meraki MR License,,,,,,,,,1505.25,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-ENT-1D,Meraki MR Enterprise License-1 Day,License,Wireless,Meraki MR License,,,,,,,,,0.69,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-ENT-1YR,"Meraki MR Enterprise License, 1YR",License,Wireless,Meraki MR License,,,,,,,,,200.7,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-ENT-3YR,"Meraki MR Enterprise License, 3YR",License,Wireless,Meraki MR License,,,,,,,,,451.58,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-ENT-5YR,"Meraki MR Enterprise License, 5YR",License,Wireless,Meraki MR License,,,,,,,,,752.63,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-ENT-7YR,"Meraki MR Enterprise License, 7YR",License,Wireless,Meraki MR License,,,,,,,,,1053.68,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-MR-ADV-1D,"Meraki MR Advanced License and Support, 1 Day",License,Wireless,Meraki MR License,,,,,,,,,1.38,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-MR-ADV-1Y,"Meraki MR Advanced License and Support, 1YR",License,Wireless,Meraki MR License,,,,,,,,,313.59,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-MR-ADV-3Y,"Meraki MR Advanced License and Support, 3YR",License,Wireless,Meraki MR License,,,,,,,,,752.63,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-MR-ADV-5Y,"Meraki MR Advanced License and Support, 5YR",License,Wireless,Meraki MR License,,,,,,,,,1254.38,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-MR-UPGR-1D,Meraki MR Advanced License Upgrade and Support 1 Day,License,Wireless,Meraki MR License,,,,,,,,,0.69,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-MR-UPGR-1Y,Meraki MR Advanced License Upgrade and Support 1YR,License,Wireless,Meraki MR License,,,,,,,,,200.7,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-MR-UPGR-3Y,Meraki MR Advanced License Upgrade and Support 3YR,License,Wireless,Meraki MR License,,,,,,,,,451.58,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
LIC-MR-UPGR-5Y,Meraki MR Advanced License Upgrade and Support 5YR,License,Wireless,Meraki MR License,,,,,,,,,752.63,ICW-ONLY,Sheet1,Cisco Wireless Product List,,,
